# SERVED MODEL: claude-opus-5-5 — X.W12U.s2 disposition slice (131 supplement rows, .s2 pages). Built by build-s2.py.
id	sev	page	owner	s2_disposition	evidence_or_route	title
UIA-V-29	BROKEN	palette-card-menu	GLASS+CONSUMER	CURED-AT-HEAD	s2/probe-menu-tone 1440 ×2 — Delete/Delete (admin) paint --destructive, Report muted (10.1.0 layered menu sheet) · glass half O-59 (relayed)	Destructive and muted item tones never paint: Delete, Delete (admin) and Report render in plain ink
UIA-V-30	BROKEN	browse-view	CONSUMER	CURED 30035f7b	W12U-evidence/s2/probe-card-head (+ c9be1792 silhouette) HEAD RED → GREEN light+dark · also A2-VA-L3-8	390: the colour-count badge is clipped and covered by the '+N' tag chip; the palette name truncates to 5 characters
UIA-V-31	BROKEN	browse-view	CONSUMER	CURED 85b7638b	W12U-evidence/s2/probe-card-keyboard HEAD RED → GREEN light+dark	Cards cannot be selected by keyboard: the entity inspector and the dock palette scene need a mouse click
UIA-V-32	BROKEN	browse-search-filter	GLASS+CONSUMER	CURED e88fbc69	W12U-evidence/s2/probe-filter-fit HEAD RED → GREEN light+dark · also A2-VA-L2-1 (consumer half; 844×390 stays RED on the glass block cap) · glass half O-59 (relayed)	Filters popover runs past the viewport: Find by Color (1440) and Clear all (390) cannot be reached
UIA-V-33	BROKEN	browse-search-filter	CONSUMER	CURED 711e37fd	W12U-evidence/s2/probe-color-query HEAD RED → GREEN light+dark	The typed color field ignores anything that is not a 6-digit hex, though its placeholder advertises hsl()
UIA-V-34	BROKEN	tag-edit-popover	GLASS+CONSUMER	CURED cc26ac43	W12U-evidence/s/probe-tag-anchor 390 ×2 (s2/results/v34-tag-anchor.txt) — cured once at .s1 as UIA-V-28 = A2-VA-X-4 HEAD RED → GREEN light+dark · also A2-VA-X-4 · glass half O-59 (relayed)	The tag popover has no anchor: it opens pinned to the viewport's top-left corner from every reach
UIA-V-38	BROKEN	version-history-drawer	CONSUMER	CURED 60e4e237	W12U-evidence/demo/test/palettes/revert-contract.test.ts (2 failed → 2 passed) HEAD RED → GREEN light+dark	Client revert sends no If-Match and no Idempotency-Key, so every real revert returns 428
UIA-V-96	HIGH	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	keyboard/aria selection CURED with V-31 (85b7638b); the dock-collapse half is the dock's	Selecting a palette is invisible: the dock collapses to an orb, the card gets no selected state, and the verb set is 2 clicks away
UIA-V-97	HIGH	palettes-view	GLASS+CONSUMER	CURED-AT-HEAD	s2/probe-menu-tone 1440 ×2 (= V-29's Delete row) · glass half O-59 (relayed)	Delete is not destructive-toned: glass DropdownMenuItem has no tone axis and the consumer's text-destructive loses
UIA-V-98	HIGH	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	keyboard select CURED with V-31 (85b7638b); reorder/swatch reach + glass SortableList adoption remain	Keyboard cannot select, reorder, or reach swatches; list semantics wrong; reorder uses a hand-rolled sortable instead of glass SortableList
UIA-V-99	HIGH	palettes-view	CONSUMER	CURED e88848d9	W12U-evidence/s2/probe-editor-names HEAD RED → GREEN light+dark	Unnamed and undersized controls: save check, name field, rename submit/cancel
UIA-V-100	HIGH	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	Three different field registers on one pane (seated search / glass Input / chrome input-bar in mono)
UIA-V-101	HIGH	palettes-view	CONSUMER	CURED-AT-HEAD	s2/probe-menu-seat 390/360 ×2 — 0/20 menu buttons cross their card (GREEN on the base bytes 23cd3a34)	390: the 44px 'Palette menu' touch button overhangs its card row
