light 1440x900 cube     y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> PASS
light 1440x900 amiga    y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> PASS
light 1440x900 square   y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=2 code=0 -> PASS
light 1440x900 easing   y3 stadium-multi=16 button.toggle-group__item.control-surface[2L 121px],button.toggle-group__item.control-surface[2L 121px],button.toggle-group__item.control-surface[2L 121px],button.toggle-group__item.control-surface[2L 121px] | presets=28 rad=9999px inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> FAIL
light 1440x900 spring   y3 stadium-multi=6 button.toggle-group__item.control-surface[2L 75px],button.toggle-group__item.control-surface[2L 75px],button.toggle-group__item.control-surface[2L 75px],button.toggle-group__item.control-surface[2L 75px] | presets=4 rad=9999px inner=8 | fig title=[] legend=[] | primary=0 violet=4 code=2 -> FAIL
light 1440x900 sequence y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=2 code=0 -> FAIL
light 390x844 cube     y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> PASS
light 390x844 amiga    y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> PASS
light 390x844 square   y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=2 code=0 -> PASS
light 390x844 easing   y3 stadium-multi=0 | presets=28 rad=9999px inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> FAIL
light 390x844 spring   y3 stadium-multi=0 | presets=4 rad=9999px inner=8 | fig title=[] legend=[] | primary=0 violet=4 code=2 -> FAIL
light 390x844 sequence y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=2 code=0 -> FAIL
dark 1440x900 cube     y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> PASS
dark 1440x900 amiga    y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> PASS
dark 1440x900 square   y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=2 code=0 -> PASS
dark 1440x900 easing   y3 stadium-multi=16 button.toggle-group__item.control-surface[2L 121px],button.toggle-group__item.control-surface[2L 121px],button.toggle-group__item.control-surface[2L 121px],button.toggle-group__item.control-surface[2L 121px] | presets=28 rad=9999px inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> FAIL
dark 1440x900 spring   y3 stadium-multi=6 button.toggle-group__item.control-surface[2L 75px],button.toggle-group__item.control-surface[2L 75px],button.toggle-group__item.control-surface[2L 75px],button.toggle-group__item.control-surface[2L 75px] | presets=4 rad=9999px inner=8 | fig title=[] legend=[] | primary=0 violet=4 code=2 -> FAIL
dark 1440x900 sequence y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=2 code=0 -> FAIL
dark 390x844 cube     y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> PASS
dark 390x844 amiga    y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> PASS
dark 390x844 square   y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=2 code=0 -> PASS
dark 390x844 easing   y3 stadium-multi=0 | presets=28 rad=9999px inner=0 | fig title=[] legend=[] | primary=0 violet=0 code=0 -> FAIL
dark 390x844 spring   y3 stadium-multi=0 | presets=4 rad=9999px inner=8 | fig title=[] legend=[] | primary=0 violet=4 code=2 -> FAIL
dark 390x844 sequence y3 stadium-multi=0 | presets=0 rad= inner=0 | fig title=[] legend=[] | primary=0 violet=2 code=0 -> FAIL
fails=12
EXIT 1
