# SERVED MODEL: claude-opus-5-5 — X.W12.u3 the full UIA-V disposition table (every `#### UIA-V-` row of audit/UI-AUDIT-value.md: 676 numbered + 3 held). Columns: id sev page owner bucket disposition. sha = cured by that commit; O-59 = glass relay X-ALL-BK-UI-AUDIT.md (other O-rows named); HONEST-RED <ID> / R-5 HOLD / VERDICT = standing honest-RED or measured verdict; SUPPLEMENT X-W12S = consumer residue routed row by row to the X-W12 supplement (§0bl). Built by build-disposition-u3.py.
UIA-V-1	BROKEN	app-ground-atmosphere	CONSUMER	sha	9711abdb [.a]
UIA-V-2	BROKEN	home-picker	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-3	BROKEN	home-picker	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-4	BROKEN	about-pane	CONSUMER	sha	a89fa035 [.c]
UIA-V-5	BROKEN	color-space-select	GLASS+CONSUMER	sha	d40b574c [.t]
UIA-V-6	BROKEN	dock-main	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-7	BROKEN	dock-main	CONSUMER	sha	f91d5ccd (consumer; a colour-only glass ring seam would retire the composed shadow — not yet relayed, noted in the receipt) [.u3]
UIA-V-8	BROKEN	dock-main	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-9	BROKEN	dock-action-bar-color	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-10	BROKEN	dock-action-bar-color	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-11	BROKEN	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-12	BROKEN	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-13	BROKEN	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-14	BROKEN	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-15	BROKEN	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-16	BROKEN	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
